Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Harry,25,25,50,94.0,63.0,157.0,3.0,0.7142857142857143,0.8083333333333332,0.3998496732026144,0.5481936,0.5931751,0.17783219189227403,1.0,0.04334677383303642
Dudley,3,3,6,6.0,7.0,13.0,4.0,0.43478260869565216,0.4770833333333333,0.013725490196078431,0.14117473,0.11088286,0.025519808271382415,0.2827530741965732,0.5
Aunt Petunia,4,3,7,6.0,8.0,14.0,4.0,0.43478260869565216,0.4770833333333332,0.01588235294117647,0.14123537,0.13265283,0.029480947152926512,0.28367872374589326,0.4166666567325592
Uncle Vernon,3,4,7,4.0,18.0,22.0,4.0,0.46511627906976744,0.5104166666666666,0.00326797385620915,0.15622869,0.17409956,0.024189845503689758,0.31359104878009664,0.6666666865348816
Hagrid,7,11,18,14.0,28.0,42.0,3.0,0.5405405405405406,0.6166666666666665,0.0803137254901961,0.2791959,0.2700617,0.049334673494471154,0.49055690769200355,0.10606060922145844
Dedalus Diggle,1,1,2,1.0,1.0,2.0,4.0,0.42105263157894735,0.44791666666666663,0.0,0.093052365,0.08599774,0.012025855306423165,0.17778798927373943,0.0
Griphook,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.13541846,0.0,0.015837137497182803,0.2631665830915994,1.0
Mr. Ollivander,1,2,3,1.0,2.0,3.0,4.0,0.449438202247191,0.4812499999999999,0.0,0.093052365,0.12979653,0.012025855306423165,0.17778798927373943,1.0
Hedwig,1,1,2,1.0,1.0,2.0,4.0,0.42105263157894735,0.44791666666666663,0.0,0.093052365,0.08599774,0.012025855306423165,0.17778798927373943,0.0
Fred and George,2,3,5,2.0,3.0,5.0,4.0,0.43956043956043955,0.4812499999999999,3.92156862745098E-4,0.13801342,0.13979702,0.014432879528641775,0.23866224238724382,0.5
Ron,10,13,23,33.0,24.0,57.0,3.0,0.5633802816901409,0.6458333333333333,0.11714379084967319,0.27418748,0.38177913,0.060965014578620885,0.49432247459874296,0.08187134563922882
Dumbledore,4,4,8,7.0,14.0,21.0,3.0,0.47619047619047616,0.5166666666666666,0.0277124183006536,0.16908686,0.17048897,0.023959924262732038,0.2835147465120689,0.25
Morgana,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.093052365,0.0,0.012025855306423165,0.17778798927373943,0.0
Quirrell,6,2,8,9.0,7.0,16.0,4.0,0.43010752688172044,0.4645833333333333,0.00830065359477124,0.21814187,0.094981454,0.03804869329021607,0.39031202628250306,0.30000001192092896
Percy,3,2,5,4.0,2.0,6.0,4.0,0.37735849056603776,0.4145833333333334,0.014542483660130718,0.124802254,0.04409834,0.01865679141126826,0.22132890503887181,0.25
Bloody Baron,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.093052365,0.0,0.012025855306423165,0.17778798927373943,0.0
Malfoy,5,3,8,5.0,4.0,9.0,4.0,0.43956043956043955,0.4812499999999999,0.03483660130718954,0.21906298,0.09744001,0.030082622421133104,0.3522003979422605,0.190476194024086
Hermione,3,7,10,14.0,19.0,33.0,4.0,0.5,0.5604166666666666,0.00616339869281046,0.19530982,0.2866032,0.019825150105051047,0.3514120785889301,0.4285714328289032
Filch,1,2,3,2.0,2.0,4.0,4.0,0.4444444444444444,0.47708333333333314,0.0,0.093052365,0.12901084,0.012025855306423165,0.17778798927373943,1.0
Parvati Patil,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.15294373,0.0,0.016013867914291408,0.26603348477107014,1.0
Seeker,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.15294373,0.0,0.016013867914291408,0.26603348477107014,1.0
Snape,1,3,4,3.0,9.0,12.0,4.0,0.43956043956043955,0.48125,0.013725490196078431,0.093052365,0.12325196,0.012025855306423165,0.17778798927373943,0.3333333432674408
Fred,2,1,3,2.0,2.0,4.0,4.0,0.42105263157894735,0.44791666666666663,0.0,0.15294373,0.08599774,0.016013867914291408,0.26603348477107014,1.0
George,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.093052365,0.0,0.012025855306423165,0.17778798927373943,0.0
Neville,5,5,10,7.0,6.0,13.0,4.0,0.47058823529411764,0.5229166666666665,0.02420915032679739,0.23314974,0.199016,0.03498692152468862,0.37343454235243523,0.3571428656578064
Madam Pomfrey,2,2,4,2.0,2.0,4.0,3.0,0.43956043956043955,0.4708333333333333,0.014052287581699345,0.15294373,0.09246921,0.016013867914291408,0.26603348477107014,0.5
Scabbers,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.059891358,0.0,0.009967556919902306,0.08824549549733075,0.0
Seamus,3,1,4,3.0,1.0,4.0,4.0,0.425531914893617,0.4520833333333333,0.0,0.13607338,0.08599774,0.01832054888341337,0.2149384983615558,0.9166666865348816
Dean,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.059891358,0.0,0.009967556919902306,0.08824549549733075,0.0
Trevor,2,1,3,2.0,1.0,3.0,5.0,0.3225806451612903,0.3466666666666667,0.0,0.09111232,0.036575314,0.015913524661194764,0.15406424524805135,1.0
Flamel,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.042366095,0.0,0.009790826502793702,0.08537859381785992,0.0
Norbert,2,1,3,2.0,1.0,3.0,4.0,0.35398230088495575,0.38125000000000014,0.001830065359477124,0.05765249,0.043798797,0.018312877334459104,0.1482215652163491,0.0
Ronan,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.04343503,0.0,0.014873726362310262,0.08715647371059732,0.0
the stranger,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.042366095,0.0,0.009790826502793702,0.08537859381785992,0.0
Voldemort,2,2,4,3.0,2.0,5.0,4.0,0.37383177570093457,0.4125000000000001,0.0010130718954248364,0.05726678,0.07723406,0.025971544690094057,0.15381319432593835,0.3333333432674408
