E1,E2,W
Harry,Dudley,2.0
Harry,Aunt Petunia,1.0
Harry,Uncle Vernon,2.0
Harry,Hagrid,7.0
Harry,Dedalus Diggle,1.0
Harry,Griphook,1.0
Harry,Mr. Ollivander,1.0
Harry,Hedwig,1.0
Harry,Fred,2.0
Harry,George,2.0
Harry,Ron,14.0
Harry,Dumbledore,3.0
Harry,Quirrell,3.0
Harry,Percy,2.0
Harry,Bloody Baron,1.0
Harry,Malfoy,1.0
Harry,Hermione,10.0
Harry,Filch,2.0
Harry,Parvati Patil,1.0
Harry,Snape,3.0
Harry,Neville,1.0
Harry,Madam Pomfrey,1.0
Ron,Harry,8.0
Ron,Scabbers,2.0
Ron,Fred,1.0
Ron,Hagrid,2.0
Ron,Parvati Patil,1.0
Ron,Hermione,3.0
Ron,Neville,1.0
Ron,Seamus,1.0
Ron,Dean,1.0
Ron,Malfoy,1.0
Ron,Madam Pomfrey,1.0
Ron,Trevor,1.0
Hagrid,Harry,15.0
Hagrid,Uncle Vernon,1.0
Hagrid,Griphook,1.0
Hagrid,Ron,2.0
Hagrid,Flamel,1.0
Hagrid,Norbert,1.0
Hagrid,Hermione,1.0
Hagrid,Ronan,1.0
Hagrid,Dumbledore,1.0
Hagrid,the stranger,2.0
Hagrid,Voldemort,2.0
Hermione,Harry,4.0
Hermione,Ron,8.0
Hermione,Neville,3.0
Hermione,Seamus,1.0
Hermione,Quirrell,1.0
Hermione,Hagrid,1.0
Hermione,Fred,1.0
Hermione,George,1.0
Quirrell,Harry,6.0
Quirrell,Voldemort,1.0
Dudley,Harry,5.0
Dudley,Mrs. Figg,1.0
Dudley,Aunt Petunia,1.0
Neville,Harry,1.0
Neville,Ron,2.0
Neville,Seamus,1.0
Neville,Malfoy,1.0
Neville,Trevor,1.0
Professor McGonagall,Dumbledore,2.0
Professor McGonagall,Harry,3.0
Professor McGonagall,Wood,1.0
Professor McGonagall,Malfoy,1.0
Professor McGonagall,Neville,1.0
Uncle Vernon,Harry,13.0
Uncle Vernon,Aunt Petunia,3.0
Uncle Vernon,Dudley,1.0
Uncle Vernon,Hagrid,1.0
Malfoy,Harry,2.0
Malfoy,Norbert,1.0
Malfoy,Fang,1.0
Snape,Harry,7.0
Snape,Quirrell,1.0
Snape,Fluffy,1.0
Dumbledore,Professor McGonagall,3.0
Dumbledore,Harry,8.0
Dumbledore,Quirrell,2.0
Dumbledore,Hagrid,1.0
Aunt Petunia,Harry,4.0
Aunt Petunia,Dudley,3.0
Wood,Harry,2.0
Voldemort,Ron,1.0
Voldemort,Quirrell,1.0
Percy,Peeves,1.0
Percy,Ron,1.0
Filch,Ron,1.0
Filch,Harry,1.0
Fred,Harry,5.0
Aunt Petunia,Uncle Vernon,1.0
Norbert,Hagrid,1.0
Mr. Ollivander,Hagrid,1.0
Mr. Ollivander,Harry,1.0
Professor Flitwick,Dumbledore,1.0
Firenze,Harry,4.0
George,Percy,1.0
Madam Hooch,Malfoy,1.0
Seamus,Harry,1.0
George,Harry,1.0
George,Quirrell,1.0
Madam Pomfrey,Professor McGonagall,1.0
Madam Pomfrey,Harry,1.0
Mrs. Norris,Ron,1.0
Bane,Ronan,1.0
Hedwig,Harry,1.0
Mr. Weasley,Ron,1.0
Mr. Weasley,Percy,1.0
Dedalus Diggle,Harry,1.0
the ghost,Harry,1.0
The white queen,Ron,2.0
Madam Malkin,Harry,1.0
