Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Harry,30,41,71,128.0,194.0,322.0,3.0,0.672566371681416,0.7653508771929826,0.34856280839426906,0.4182457,0.6735384,0.10877279757433478,1.0,0.03224489837884903
Dumbledore,8,18,26,38.0,63.0,101.0,4.0,0.5100671140939598,0.5877192982456144,0.09125884311277567,0.20687051,0.27834728,0.02966285281232817,0.5370589440276865,0.07105263322591782
Malfoy,12,8,20,34.0,13.0,47.0,4.0,0.4634146341463415,0.510964912280702,0.06959841864336247,0.26404792,0.1733691,0.03984777071309538,0.5323180300170202,0.12916666269302368
Ron,9,9,18,45.0,32.0,77.0,4.0,0.44970414201183434,0.5032894736842108,0.05315052612805423,0.22700898,0.12312316,0.03181891278918688,0.5294763621528196,0.11538461595773697
Snape,10,12,22,22.0,32.0,54.0,4.0,0.4840764331210191,0.5438596491228072,0.04687265917602996,0.27670375,0.27212033,0.03313842798476579,0.6238505933498254,0.18131868541240692
Slughorn,9,10,19,22.0,27.0,49.0,4.0,0.4935064935064935,0.5405701754385968,0.04139736044230426,0.27001414,0.24670248,0.03529860826742295,0.6479004561360264,0.2756410241127014
Hermione,9,11,20,55.0,42.0,97.0,4.0,0.4662576687116564,0.5252192982456142,0.04022739432851792,0.2111067,0.26732215,0.029847715278792816,0.5106943307316832,0.1794871836900711
Voldemort,6,9,15,18.0,14.0,32.0,4.0,0.4470588235294118,0.5021929824561402,0.03178318768206409,0.17253958,0.21582092,0.020483907283764646,0.32611961470985934,0.21969696879386902
Scrimgeour,2,4,6,2.0,6.0,8.0,4.0,0.4198895027624309,0.45504385964912236,0.022138992925509776,0.09144368,0.07281016,0.010377963206620712,0.18485504785524884,0.0833333358168602
Hagrid,3,2,5,7.0,3.0,10.0,4.0,0.40860215053763443,0.4364035087719294,0.015855181023720348,0.124235414,0.054587364,0.012384384882964818,0.24709843139775226,0.25
Ginny,5,7,12,19.0,15.0,34.0,4.0,0.4367816091954023,0.47916666666666663,0.01224362404137685,0.13915129,0.13731328,0.01340022582620214,0.34528522585121,0.3055555522441864
Professor McGonagall,5,4,9,6.0,4.0,10.0,5.0,0.38974358974358975,0.4291666666666665,0.012111943404078236,0.1741014,0.111774825,0.013675180949582214,0.34710791890477866,0.3214285671710968
Hepzibah,1,2,3,1.0,3.0,4.0,4.0,0.41397849462365593,0.44155844155844126,0.00961298377028714,0.0,0.07583586,0.0068113694236010365,0.0014816583909363506,0.3333333432674408
Mr. Weasley,2,5,7,3.0,7.0,10.0,4.0,0.42696629213483145,0.4671052631578945,0.009448011414303547,0.11812626,0.11769653,0.008937504686532557,0.23992346639785356,0.36666667461395264
Peakes,1,1,2,1.0,1.0,2.0,4.0,0.40860215053763443,0.4309210526315786,0.009363295880149813,0.0,0.053687904,0.009366046901789007,0.011887328099980804,0.0
Seamus,3,2,5,3.0,2.0,5.0,4.0,0.4198895027624309,0.4462719298245612,0.009363295880149811,0.10397633,0.0828278,0.015372107444520493,0.253684056568295,0.5
Ogden,4,1,5,6.0,1.0,7.0,2.0,0.6666666666666666,0.75,0.006991260923845194,0.12644903,0.0,0.018838387223105428,0.23290217162274374,0.1666666716337204
Fudge,2,1,3,4.0,3.0,7.0,1.0,1.0,1.0,0.006741573033707865,0.009502822,0.0,0.03239364246851849,0.030822351745925937,0.0
Riddle,3,2,5,8.0,4.0,12.0,5.0,0.34234234234234234,0.3725877192982455,0.006616729088639201,0.15385617,0.027283866,0.010338331775773509,0.3164631955733045,0.5
Demelza,1,1,2,2.0,1.0,3.0,5.0,0.29343629343629346,0.3074561403508773,0.006491885143570537,0.015804645,0.0,0.00668706384847746,0.07605377279040168,0.0
Lavender,3,3,6,3.0,3.0,6.0,4.0,0.42696629213483145,0.45723684210526305,0.0029665299328220673,0.12633325,0.1099264,0.00980828470898373,0.22329547928487103,0.5833333134651184
Greyback,1,2,3,1.0,2.0,3.0,5.0,0.3247863247863248,0.3506578947368421,0.001895547232625884,0.08645842,0.03912552,0.00593693856161733,0.14816583909363507,0.3333333432674408
Luna,3,2,5,8.0,2.0,10.0,4.0,0.33043478260869563,0.35745614035087714,8.531002913025385E-4,0.13011934,0.03883673,0.010448916470367792,0.24950145566051538,0.6666666865348816
Bill,2,1,3,2.0,2.0,4.0,1.0,1.0,1.0,8.447773616312941E-4,0.04075224,0.0030126772,0.007605905817508021,0.0989325923041173,0.0
Mrs. Weasley,2,2,4,2.0,6.0,8.0,4.0,0.41081081081081083,0.4385964912280698,3.2251352476071575E-4,0.032734208,0.05670058,0.0068284828496779065,0.08492474429174793,0.3333333432674408
