E1,E2,W
Clyde,Gilbert,1.0
Clyde,Whiggam,2.0
Clyde,Hortense,2.0
Clyde,Rita,5.0
Clyde,Dillard,1.0
Clyde,Bella,1.0
Clyde,Mrs. Cuppy,1.0
Clyde,Roberta,115.0
Clyde,Constance,1.0
Clyde,Frank Harriet,1.0
Clyde,Sondra,8.0
Clyde,Ratterer,1.0
Clyde,Nadine,6.0
Clyde,the druggist,1.0
Roberta,Clyde,47.0
Roberta,Grace,2.0
Roberta,Tom,1.0
Roberta,Emily,1.0
Roberta,Sondra,1.0
Sondra,Clyde,7.0
Sondra,Nina Temple,1.0
Bella,Clyde,2.0
Bella,Mrs. Griffiths,1.0
Bella,Myra,1.0
Bella,Samuel Griffiths,1.0
Samuel Griffiths,Mrs. Griffiths,1.0
Samuel Griffiths,Clyde,3.0
Samuel Griffiths,Bella,1.0
Grace,Roberta,4.0
Grace,Clyde,1.0
Mrs. Griffiths,Clyde,2.0
Mrs. Griffiths,the maid,1.0
Dillard,Clyde,3.0
Dillard,Rita,1.0
Rita,Clyde,3.0
Liggett,Clyde,1.0
Liggett,Roberta,1.0
Dr. Glenn,Clyde,1.0
Orrin Short,Clyde,2.0
Jill Trumbull,Clyde,2.0
Nina Temple,Clyde,1.0
Whiggam,Clyde,1.0
Whiggam,Mr. Kemerer,1.0
Whiggam,Liggett,1.0
Zella,Dillard,1.0
Zella,Clyde,1.0
Stuart,Clyde,1.0
Gertrude,Clyde,1.0
Ratterer,Clyde,1.0
Gilbert,Sondra,1.0
Hortense,Clyde,2.0
Constance,Clyde,1.0
Mrs. Howard,Roberta,1.0
Mrs. Finchley,Clyde,1.0
Mr. Kemerer,Clyde,1.0
Tracy Trumbull,Clyde,1.0
the guide,Clyde,3.0
Mrs. Braley,Clyde,1.0
Mrs. Gilpin,Roberta,1.0
John,Clyde,1.0
Shurlock,Clyde,1.0
Olive Pope,Opal Feliss,1.0
