E1,E2,W
Alicia,Harry,1.0
Aunt Marge,Harry,3.0
Aunt Marge,Aunt Petunia,1.0
Aunt Petunia,Harry,1.0
Black,Ron,3.0
Black,Pettigrew,4.0
Black,James,3.0
Black,Scabbers,1.0
Black,Lupin,2.0
Black,Harry,1.0
Black,Snape,1.0
Black,Buckbeak,1.0
Bole,Alicia,1.0
Buckbeak,Harry,1.0
Cho,Harry,2.0
Crabbe,Buckbeak,1.0
Crookshanks,Ron,1.0
Crookshanks,Harry,1.0
Crookshanks,Black,1.0
Dumbledore,Lily,1.0
Dumbledore,Harry,1.0
Dumbledore,Black,1.0
Dumbledore,Pettigrew,1.0
Dumbledore,Hermione,1.0
Dumbledore,Lupin,1.0
Dumbledore,Professor Trelawney,1.0
Ern,Black,1.0
Florean Fortescue,Harry,1.0
Fred,Mrs. Weasley,1.0
Fred,Harry,3.0
Fudge,Harry,3.0
Fudge,Black,1.0
Fudge,Madam Pomfrey,1.0
Fudge,Macnair,1.0
George,Snape,1.0
George,Harry,1.0
George,Bole,1.0
Ginny,Harry,1.0
Hagrid,Malfoy,1.0
Hagrid,Harry,2.0
Hagrid,Ron,1.0
Hagrid,Hermione,1.0
Hagrid,Black,4.0
Hagrid,Macnair,1.0
Hagrid,Buckbeak,1.0
Harry,Hedwig,3.0
Harry,Uncle Vernon,3.0
Harry,Fudge,2.0
Harry,Tom,2.0
Harry,Seamus Finnigan,1.0
Harry,Ron,15.0
Harry,Hermione,14.0
Harry,Errol,1.0
Harry,Mr. Weasley,4.0
Harry,Mrs. Weasley,1.0
Harry,Voldemort,1.0
Harry,Lupin,9.0
Harry,Dumbledore,2.0
Harry,Buckbeak,4.0
Harry,Malfoy,8.0
Harry,Neville,1.0
Harry,Professor Trelawney,1.0
Harry,Professor McGonagall,2.0
Harry,Crookshanks,1.0
Harry,Crabbe,1.0
Harry,Fred,2.0
Harry,George,1.0
Harry,Hagrid,4.0
Harry,Scabbers,1.0
Harry,James,1.0
Harry,Katie,1.0
Harry,Wood,1.0
Harry,Snape,2.0
Harry,Black,2.0
Harry,Pettigrew,1.0
Harry,Madam Pomfrey,1.0
Hermione,Lupin,2.0
Hermione,Harry,14.0
Hermione,Ron,5.0
Hermione,Crookshanks,5.0
Hermione,Professor McGonagall,3.0
Hermione,Malfoy,1.0
Hermione,Snape,1.0
James,Black,1.0
Lupin,Hermione,1.0
Lupin,Harry,12.0
Lupin,Snape,1.0
Lupin,the boggart,1.0
Lupin,Black,6.0
Lupin,Dumbledore,2.0
Lupin,Ron,2.0
Lupin,Scabbers,1.0
Lupin,Pettigrew,1.0
Lupin,Lily,1.0
Madam Pomfrey,Hermione,1.0
Malfoy,Lupin,1.0
Malfoy,Buckbeak,1.0
Mr. Weasley,Harry,2.0
Mr. Weasley,Ron,1.0
Mr. Weasley,Mrs. Weasley,1.0
Mrs. Weasley,Hermione,1.0
Mrs. Weasley,Ginny,1.0
Mrs. Weasley,Harry,1.0
Neville,Lupin,1.0
Parvati,Harry,1.0
Parvati,Ron,1.0
Penelope,Harry,1.0
Percy,Harry,4.0
Pettigrew,James,1.0
Pettigrew,Lupin,1.0
Pettigrew,Harry,2.0
Pettigrew,Voldemort,1.0
Pettigrew,Lily,1.0
Professor McGonagall,Harry,6.0
Professor McGonagall,Hermione,2.0
Professor McGonagall,Filch,1.0
Professor McGonagall,Percy,1.0
Professor McGonagall,Neville,2.0
Professor Trelawney,Neville,1.0
Professor Trelawney,Hermione,1.0
Professor Trelawney,Dumbledore,1.0
Professor Trelawney,Professor McGonagall,1.0
Professor Trelawney,Harry,2.0
Ripper,Harry,1.0
Ron,Mr. Weasley,1.0
Ron,Harry,15.0
Ron,Crookshanks,1.0
Ron,Hermione,5.0
Ron,Scabbers,5.0
Ron,Malfoy,1.0
Ron,Hagrid,1.0
Ron,Pettigrew,1.0
Ron,Lupin,1.0
Ron,Black,1.0
Scabbers,Crookshanks,1.0
Scabbers,Black,2.0
Seamus Finnigan,Lupin,1.0
Snape,Trevor,1.0
Snape,Lupin,4.0
Snape,Neville,1.0
Snape,Harry,6.0
Snape,James,1.0
Snape,Hermione,1.0
the boggart,Harry,1.0
the Whomping Willow,Hermione,1.0
Tom,Fudge,1.0
Tom,Harry,1.0
Uncle Vernon,Harry,2.0
Uncle Vernon,Dudley,1.0
Voldemort,Black,1.0
Voldemort,Pettigrew,1.0
Wood,Diggory,1.0
Wood,Hermione,1.0
Wood,Harry,4.0
Wood,Professor McGonagall,1.0
