Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Harry,31,31,62,97.0,93.0,190.0,3.0,0.7777777777777778,0.8650793650793651,0.5423380018674137,0.529092,0.54691386,0.16703867945655748,1.0,0.04645760729908943
Hedwig,1,0,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.072056726,0.0,0.008740790765889276,0.1499395481891349,0.0
Uncle Vernon,1,2,3,3.0,3.0,6.0,4.0,0.45161290322580644,0.4821428571428569,0.01647058823529412,0.072056726,0.07094008,0.008740790765889276,0.1499395481891349,0.0
Fudge,2,4,6,3.0,6.0,9.0,4.0,0.46153846153846156,0.5059523809523807,0.00750326797385621,0.08267608,0.12348169,0.01245591366670733,0.17294011937342135,0.25
Tom,1,2,3,2.0,2.0,4.0,4.0,0.45161290322580644,0.4821428571428569,0.0,0.072056726,0.080601364,0.008740790765889276,0.1499395481891349,1.0
Seamus Finnigan,1,1,2,1.0,1.0,2.0,5.0,0.34146341463414637,0.3718253968253969,0.0,0.072056726,0.035369176,0.008740790765889276,0.1499395481891349,1.0
Ron,8,10,18,29.0,32.0,61.0,4.0,0.5060240963855421,0.5853174603174601,0.016264550264550263,0.2513326,0.30977026,0.04475455619653375,0.5552368021069755,0.3181818127632141
Hermione,12,7,19,30.0,31.0,61.0,4.0,0.5,0.5575396825396824,0.04565141612200435,0.32145733,0.22381513,0.05142788152969815,0.624694891323666,0.2142857164144516
Errol,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.072056726,0.0,0.008740790765889276,0.1499395481891349,0.0
Mr. Weasley,2,3,5,5.0,4.0,9.0,4.0,0.45652173913043476,0.4940476190476188,3.92156862745098E-4,0.11286943,0.11575972,0.012542578320561392,0.22951015586151324,0.6666666865348816
Mrs. Weasley,3,3,6,3.0,3.0,6.0,4.0,0.45652173913043476,0.4940476190476188,0.016405228758169934,0.09819702,0.114040725,0.016009752932578683,0.20679099785326577,0.3499999940395355
Voldemort,2,2,4,2.0,2.0,4.0,5.0,0.34146341463414637,0.37976190476190474,9.80392156862745E-5,0.09165841,0.06571809,0.014716438639210041,0.22015669165388543,0.8333333134651184
Lupin,10,10,20,23.0,28.0,51.0,4.0,0.5060240963855421,0.5853174603174601,0.07012449424214133,0.2684537,0.29433993,0.07143155601304513,0.7041443822453021,0.2371794879436493
Dumbledore,3,7,10,5.0,7.0,12.0,4.0,0.4827586206896552,0.5456349206349204,0.004629007158418925,0.13272093,0.23861793,0.01664331043488113,0.27872971441572536,0.4761904776096344
Buckbeak,5,1,6,8.0,1.0,9.0,4.0,0.4421052631578947,0.466269841269841,0.021163398692810458,0.14569259,0.06970867,0.03461850012712391,0.3488717973675611,0.4000000059604645
Malfoy,4,2,6,11.0,2.0,13.0,5.0,0.34710743801652894,0.38769841269841276,8.867102396514161E-4,0.17256023,0.054564394,0.020312874313115153,0.35424067736370884,0.6666666865348816
Neville,4,1,5,5.0,1.0,6.0,5.0,0.34146341463414637,0.3718253968253969,5.359477124183006E-4,0.13652392,0.035369176,0.018397364623641395,0.28745050970435393,0.550000011920929
Professor Trelawney,2,5,7,2.0,6.0,8.0,4.0,0.4772727272727273,0.5257936507936506,5.88235294117647E-4,0.103495,0.16610415,0.010762024889620258,0.1906854532437788,0.550000011920929
Professor McGonagall,4,5,9,7.0,12.0,19.0,4.0,0.47191011235955055,0.5218253968253966,0.03313725490196078,0.140944,0.13472565,0.018675572363089733,0.2926421284218547,0.261904776096344
Crookshanks,4,3,7,8.0,3.0,11.0,4.0,0.45161290322580644,0.4900793650793648,0.00630718954248366,0.14970078,0.13883539,0.030216172591441735,0.38002186298562596,0.699999988079071
