Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Clustering Coef,,,,,
Scabbers,Scabbers,5,1,6,8.0,1.0,9.0,5.0,0.31746031746031744,0.33527777777777784,0.020713450292397666,0.14401025,0.014836108,0.032429031634816585,0.4000000059604645,0,22,,0.3618990499343052,58
his mother,his mother,2,0,2,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.09492173,0.0,0.00883590840158388,0.5,0,14,,0.20434633028099203,58
James,James,5,2,7,5.0,2.0,7.0,5.0,0.33519553072625696,0.36166666666666664,0.002609022556390977,0.17116542,0.017272808,0.015036696750343971,0.5952380895614624,0,22,,0.4001477907241276,58
Wood,Wood,1,5,6,1.0,8.0,9.0,4.0,0.47244094488188976,0.5097222222222221,0.008771929824561403,0.070388995,0.13673961,0.006686934472003622,0.6000000238418579,0,22,,0.141330822185158,58
Snape,Snape,6,10,16,7.0,19.0,26.0,4.0,0.4838709677419355,0.5458333333333332,0.029477861319966582,0.18084073,0.20330746,0.017764557200118332,0.23076923191547394,0,22,,0.41340421291748286,81
Black,Black,8,11,19,15.0,15.0,30.0,4.0,0.4225352112676056,0.5041666666666664,0.025449039264828735,0.2243308,0.21148132,0.027810275643167043,0.22499999403953552,0,22,,0.4656605610914229,58
the one-eyed witch,the one-eyed witch,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.070388995,0.0,0.006686934472003622,0.0,0,15,,0.141330822185158,61
their,their,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.14878409,0.0,0.011624561371381173,0.5,0,6,,0.28477601644694894,63
Buckbeak,Buckbeak,4,2,6,6.0,2.0,8.0,4.0,0.45112781954887216,0.47638888888888864,0.01566207184628237,0.10300145,0.08053788,0.018436303593359193,0.25,0,22,,0.2717276459531956,66
Pettigrew,Pettigrew,6,8,14,10.0,10.0,20.0,3.0,0.4838709677419355,0.5333333333333331,0.00986800334168755,0.1970894,0.18560722,0.018003823687565056,0.3333333432674408,0,22,,0.41620846729479277,67
Madam Pomfrey,Madam Pomfrey,1,1,2,2.0,1.0,3.0,5.0,0.3333333333333333,0.35333333333333333,0.0,0.070388995,0.03805265,0.006686934472003622,1.0,0,22,,0.141330822185158,68
his father,his father,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.070388995,0.0,0.006686934472003622,0.0,0,1,,0.141330822185158,69
uncle,uncle,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.070388995,0.0,0.006686934472003622,0.0,0,0,,0.141330822185158,70
the witch,the witch,2,1,3,2.0,1.0,3.0,4.0,0.43795620437956206,0.4597222222222219,0.0,0.045091085,0.052108727,0.014659301447750019,1.0,0,22,,0.1177681772605402,71
him,him,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.032546148,0.0,0.006071341032740419,0.0,0,9,,0.06913527143450975,72
father,father,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.04606396,0.0,0.00805206141678477,0.5,0,5,,0.11922100202301733,73
Lily,Lily,4,0,4,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.06939058,0.0,0.016262762934767444,0.4166666567325592,0,4,,0.20349850375638454,74
the executioner,the executioner,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.043427408,0.0,0.00916793604024756,0.5,0,8,,0.10934976605762088,75
Trevor,Trevor,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.023584532,0.0,0.005500236438220989,0.0,0,10,,0.055700777506923045,77
the werewolf,the werewolf,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.023584532,0.0,0.005500236438220989,0.0,0,3,,0.055700777506923045,78
the Slytherins,the Slytherins,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.023584532,0.0,0.005500236438220989,0.0,0,2,,0.055700777506923045,79
Filch,Filch,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016770093,0.0,0.006448508548294375,0.0,0,11,,0.049528630616101396,80
Percy,Percy,1,2,3,1.0,5.0,6.0,4.0,0.4411764705882353,0.4680555555555552,8.771929824561403E-5,0.016770093,0.06881452,0.006448508548294375,0.5,0,22,,0.049528630616101396,82
Diggory,Diggory,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.015862375,0.0,0.005127032861442624,0.0,0,16,,0.020447323805717822,83
Aunt Marge,Aunt Marge,0,2,2,0.0,4.0,4.0,4.0,0.4397163120567376,0.4663978494623653,0.0,0.0,0.052819517,0.003990197291749568,0.5,0,24,,0.0,84
Aunt Petunia,Aunt Petunia,1,1,2,1.0,1.0,2.0,4.0,0.4357142857142857,0.4576502732240434,0.0,0.0061272886,0.052108727,0.005686115136729066,0.5,0,23,,0.00141330822185158,85
Dudley,Dudley,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.007942076,0.0,0.0074955551670265776,0.0,0,19,,0.023440087992188975,86
Bole,Bole,1,1,2,1.0,1.0,2.0,4.0,0.31088082901554404,0.3250000000000001,0.008596491228070175,0.011936943,0.0,0.006408146093259847,0.0,0,22,,0.03824842174500208,87
Ginny,Ginny,2,1,3,2.0,1.0,3.0,4.0,0.43795620437956206,0.4597222222222219,0.0,0.024418581,0.052108727,0.011546604374585443,0.6666666865348816,0,22,,0.10265234390422769,88
Madam Rosmerta,Madam Rosmerta,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003990197291749568,0.0,1,25,,0.0,89
Parvati,Parvati,0,2,2,0.0,2.0,2.0,4.0,0.44525547445255476,0.47131147540983576,0.0,0.0,0.076887935,0.003990197291749568,1.0,0,26,,0.0,90
Alicia,Alicia,1,1,2,1.0,1.0,2.0,3.0,0.4411764705882353,0.46111111111111075,0.010350877192982456,0.0,0.052108727,0.009437483004388209,0.0,0,22,,0.006464438056017232,91
Sir Cadogan,Sir Cadogan,1,1,2,1.0,1.0,2.0,7.0,0.19933554817275748,0.21626984126984106,0.0,0.0019643786,0.018808689,0.022132422549309465,0.0,0,22,,0.05965362684004012,92
Professor Flitwick,Professor Flitwick,0,1,1,0.0,1.0,1.0,5.0,0.32620320855614976,0.3461748633879782,0.0,0.0,0.028429154,0.003990197291749568,0.0,0,27,,0.0,93
Muggles,Muggles,0,1,1,0.0,1.0,1.0,4.0,0.4357142857142857,0.4576502732240434,0.0,0.0,0.052108727,0.003990197291749568,0.0,0,28,,0.0,94
Ern,Ern,0,1,1,0.0,1.0,1.0,5.0,0.30049261083743845,0.3308743169398906,0.0,0.0,0.026023326,0.003990197291749568,0.0,0,29,,0.0,95
Lee,Lee,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003990197291749568,0.0,2,30,,0.0,97
his parents,his parents,0,1,1,0.0,1.0,1.0,4.0,0.4357142857142857,0.4576502732240434,0.0,0.0,0.052108727,0.003990197291749568,0.0,0,31,,0.0,98
Cho,Cho,0,1,1,0.0,2.0,2.0,4.0,0.4357142857142857,0.4576502732240434,0.0,0.0,0.052108727,0.003990197291749568,0.0,0,32,,0.0,60
Arthur,Arthur,0,1,1,0.0,1.0,1.0,4.0,0.4357142857142857,0.4576502732240434,0.0,0.0,0.052108727,0.003990197291749568,0.0,0,33,,0.0,59
Mum,Mum,0,2,2,0.0,2.0,2.0,5.0,0.34444444444444444,0.3755376344086021,0.0,0.0,0.025117213,0.003990197291749568,0.0,0,35,,0.0,62
the Weasleys,the Weasleys,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0029137037,0.0,0.005686115136729066,0.0,0,34,,0.00141330822185158,76
Penelope,Penelope,0,1,1,0.0,1.0,1.0,4.0,0.4357142857142857,0.4576502732240434,0.0,0.0,0.06109632,0.003990197291749568,0.5,0,36,,0.0,96
Madam Hooch,Madam Hooch,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013630877,0.0,0.008213383663084231,0.0,0,13,,0.07450625710497578,64
Florean Fortescue,Florean Fortescue,0,1,1,0.0,1.0,1.0,4.0,0.4357142857142857,0.4576502732240434,0.0,0.0,0.052108727,0.003990197291749568,0.0,0,37,,0.0,32
Red Caps,Red Caps,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013630877,0.0,0.008213383663084231,0.0,0,12,,0.07450625710497578,46
Malfoy’s dad,Malfoy’s dad,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003990197291749568,0.0,3,38,,0.0,45
