E1,E2,W
Clyde,Julia,1.0
Clyde,the youth,1.0
Clyde,that individual,1.0
Clyde,Mr. Squires,2.0
Clyde,Hortense,16.0
Clyde,Esta,13.0
Clyde,Laura Sipe,3.0
Hortense,Clyde,26.0
Hortense,Mr. Rubenstein,3.0
Hortense,Tom Keary,1.0
Hortense,a certain alleged young society man,2.0
Hortense,Higby,1.0
Hortense,Sparser,1.0
Esta,Clyde,2.0
Hegglund,Clyde,4.0
Hegglund,Maida Axelrod,2.0
Ratterer,Clyde,4.0
Ratterer,Hegglund,1.0
Ratterer,Hortense,2.0
Ratterer,Lucille Nickolas,4.0
Ratterer,Higby,1.0
Sparser,Hortense,3.0
Mrs. Griffiths,Asa,1.0
Mrs. Griffiths,Clyde,11.0
Higby,Tina Kogel,2.0
Higby,Hegglund,1.0
Laura Sipe,Clyde,1.0
Maida Axelrod,Clyde,1.0
the blonde girl,Clyde,2.0
Tina Kogel,Clyde,1.0
Kinsella,Clyde,1.0
a certain alleged young society man,Hortense,2.0
the elevator boy,Clyde,1.0
Clyde,Gilbert,1.0
Clyde,Whiggam,2.0
Clyde,Rita,5.0
Clyde,Dillard,1.0
Clyde,Bella,1.0
Clyde,Mrs. Cuppy,1.0
Clyde,Roberta,152.0
Clyde,Constance,1.0
Clyde,Frank Harriet,1.0
Clyde,Sondra,12.0
Clyde,Ratterer,1.0
Clyde,Nadine,6.0
Clyde,the druggist,1.0
Roberta,Clyde,53.0
Roberta,Grace,2.0
Roberta,Tom,1.0
Roberta,Emily,1.0
Roberta,Sondra,1.0
Sondra,Clyde,14.0
Sondra,Nina Temple,1.0
Bella,Clyde,2.0
Bella,Mrs. Griffiths,1.0
Bella,Myra,1.0
Bella,Samuel Griffiths,1.0
Samuel Griffiths,Mrs. Griffiths,1.0
Samuel Griffiths,Clyde,5.0
Samuel Griffiths,Bella,1.0
Grace,Roberta,4.0
Grace,Clyde,1.0
Mrs. Griffiths,the maid,1.0
Dillard,Clyde,3.0
Dillard,Rita,1.0
Rita,Clyde,3.0
Liggett,Clyde,1.0
Liggett,Roberta,1.0
Dr. Glenn,Clyde,1.0
Orrin Short,Clyde,2.0
Jill Trumbull,Clyde,2.0
Nina Temple,Clyde,1.0
Whiggam,Clyde,1.0
Whiggam,Mr. Kemerer,1.0
Whiggam,Liggett,1.0
Zella,Dillard,1.0
Zella,Clyde,1.0
Stuart,Clyde,2.0
Gertrude,Clyde,1.0
Gilbert,Sondra,1.0
Constance,Clyde,1.0
Mrs. Howard,Roberta,1.0
Mrs. Finchley,Clyde,1.0
Mr. Kemerer,Clyde,1.0
Tracy Trumbull,Clyde,1.0
the guide,Clyde,3.0
Mrs. Braley,Clyde,1.0
Mrs. Gilpin,Roberta,1.0
John,Clyde,1.0
Shurlock,Clyde,1.0
Olive Pope,Opal Feliss,1.0
Clyde,Orville Mason,2.0
Clyde,the detective,1.0
Clyde,Bertine,1.0
Clyde,Frederick Sells,1.0
Clyde,Harley Baggott,1.0
Clyde,Belknap,2.0
Clyde,Fred Heit,1.0
Clyde,Orrin Short,1.0
Clyde,Earl Newcomb,2.0
Clyde,Jephson,4.0
Clyde,Justice Oberwaltzer,1.0
Clyde,Mrs. Griffiths,3.0
Clyde,Duncan McMillan,1.0
Roberta,Orville Mason,3.0
Roberta,Justice Oberwaltzer,1.0
Roberta,Grace Marr,1.0
Roberta,John W. Troescher,1.0
Orville Mason,Mr. Alden,3.0
Orville Mason,Sondra,1.0
Orville Mason,Jephson,1.0
Orville Mason,Belknap,1.0
Orville Mason,the clerk,1.0
Orville Mason,Clyde,9.0
Orville Mason,Dodge,1.0
Orville Mason,Mrs. Donahue,2.0
Orville Mason,Roberta,3.0
Jephson,Orville Mason,1.0
Jephson,Clyde,9.0
Jephson,Belknap,2.0
Jephson,Fred Heit,1.0
Mrs. Griffiths,David Waltham,1.0
Belknap,Jephson,1.0
Belknap,Roberta,4.0
Belknap,Sondra,1.0
Belknap,Clyde,1.0
Belknap,Fred Heit,1.0
Belknap,Burton Burleigh,1.0
Belknap,the judge,1.0
Sondra,Burchard,1.0
Sondra,Bertine,2.0
Orville Mason,the sheriff at Bridgeburg,1.0
Duncan McMillan,Clyde,5.0
Duncan McMillan,Mrs. Griffiths,1.0
Mr. Alden,Orville Mason,2.0
Mr. Alden,the mailman,1.0
Smillie,Roberta,1.0
Smillie,Clyde,1.0
Justice Oberwaltzer,the jury,1.0
Burchard,Clyde,1.0
Burchard,Sondra,1.0
Clyde,Mr. Alden,1.0
Gilbert,Clyde,1.0
Mrs. Alden,Orville Mason,1.0
Burton Burleigh,Dr. Glenn,3.0
Heit,Roberta,1.0
Catchuman,Belknap,1.0
Clifford Golden,Clyde,1.0
Frank,Mrs. Griffiths,1.0
Brookhart,Catchuman,1.0
Brookhart,Belknap,1.0
Wallace,Earl Newcomb,1.0
Bertine,Roberta,1.0
the judge,Jephson,1.0
Slack,Clyde,1.0
Atterbury,Orville Mason,2.0
John W. Troescher,Roberta,2.0
John W. Troescher,Clyde,1.0
Mr. Alden,Bert,1.0
Julia,Mrs. Griffiths,1.0
the managing editor,Mrs. Griffiths,2.0
John Pole,Roberta,1.0
Grace Marr,Roberta,1.0
Dr. Glenn,Roberta,1.0
Baker,Roberta,1.0
a letter-carrier,Roberta,1.0
a letter-carrier,Clyde,1.0
the editor,Mrs. Griffiths,1.0
the country girl,Orville Mason,1.0
the country girl,Clyde,1.0
Blanche Pettingill,Clyde,1.0
