Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Harry,40,50,90,194.0,209.0,403.0,2.0,0.8048780487804879,0.8787878787878788,0.4901259660744756,0.5091437,0.7087352,0.1644521464041286,1.0,0.025974025949835777
Mrs. Figg,1,1,2,3.0,4.0,7.0,3.0,0.4489795918367347,0.4671717171717169,0.0,0.087694645,0.062998384,0.0059343139836518805,0.13764434955036792,0.0
Uncle Vernon,3,1,4,4.0,4.0,8.0,3.0,0.4489795918367347,0.4671717171717169,0.0,0.108105354,0.062998384,0.010852538523351518,0.1784443368360905,0.8333333134651184
Dudley,2,2,4,9.0,2.0,11.0,3.0,0.4520547945205479,0.4747474747474745,0.0,0.09865521,0.076374695,0.007615750145826035,0.15672118988337852,0.8333333134651184
Sirius,6,3,9,24.0,12.0,36.0,3.0,0.4583333333333333,0.4848484848484846,0.018744354110207768,0.1411516,0.076181896,0.028533115516973673,0.2712550473548631,0.3095238208770752
Aunt Petunia,1,3,4,3.0,8.0,11.0,3.0,0.45517241379310347,0.48232323232323204,0.0,0.087694645,0.088581696,0.0059343139836518805,0.13764434955036792,0.8333333134651184
Tonks,1,5,6,5.0,8.0,13.0,3.0,0.4748201438848921,0.5075757575757576,0.0,0.087694645,0.13898724,0.0059343139836518805,0.13764434955036792,0.44999998807907104
Mrs. Weasley,4,2,6,10.0,13.0,23.0,3.0,0.4520547945205479,0.4747474747474745,0.010049683830171635,0.11927588,0.09777533,0.01248102132623994,0.18446895642629554,0.30000001192092896
Hedwig,3,0,3,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.11907282,0.0,0.010792068266815578,0.19307879036797496,0.3333333432674408
Percy,1,2,3,2.0,2.0,4.0,3.0,0.4520547945205479,0.4747474747474745,0.0,0.087694645,0.09777533,0.0059343139836518805,0.13764434955036792,1.0
Fred,5,5,10,11.0,10.0,21.0,3.0,0.46808510638297873,0.5025252525252525,0.001505570611261668,0.18609796,0.1544291,0.017263278587510093,0.31361022860405985,0.4642857015132904
George,4,3,7,7.0,7.0,14.0,3.0,0.46808510638297873,0.4924242424242423,1.5055706112616682E-4,0.16379641,0.1251236,0.01474971392895381,0.27903555879672537,0.75
Ron,13,7,20,48.0,47.0,95.0,3.0,0.4888888888888889,0.5277777777777779,0.01511843822141925,0.28106222,0.18511161,0.04311726250476766,0.4521284145858209,0.18571428954601288
Mr. Weasley,3,3,6,7.0,9.0,16.0,3.0,0.46153846153846156,0.4873737373737371,6.524139315467228E-4,0.11977713,0.101489246,0.010129314804382318,0.1912958596907132,0.4000000059604645
Umbridge,10,8,18,17.0,29.0,46.0,3.0,0.5076923076923077,0.5454545454545455,0.04386229047475661,0.19180162,0.15943423,0.051846306350919684,0.3545381570072026,0.12857143580913544
Fudge,2,1,3,4.0,1.0,5.0,4.0,0.3402061855670103,0.3560606060606059,3.512998092943892E-4,0.10310859,0.023732381,0.008981102054386497,0.17172779019820747,0.6666666865348816
Malfoy,5,2,7,8.0,2.0,10.0,3.0,0.4583333333333333,0.47979797979797956,0.04923215898825655,0.09341544,0.08673076,0.02362615320785291,0.1792017897538125,0.13333334028720856
Mundungus,2,1,3,2.0,3.0,5.0,3.0,0.4489795918367347,0.4671717171717169,0.0,0.10680277,0.062998384,0.00886917856531576,0.17970153772689057,1.0
Alice Longbottom,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.087694645,0.0,0.0059343139836518805,0.13764434955036792,0.0
Wormtail,2,1,3,4.0,2.0,6.0,1.0,1.0,1.0,0.008882866606443843,0.08905813,0.0,0.030918995194554582,0.1418588346191045,0.0
Hermione,10,13,23,62.0,31.0,93.0,3.0,0.515625,0.575757575757576,0.05001003713740841,0.22102477,0.23886046,0.033492427895824815,0.3967477323616476,0.15416666865348816
Cho,3,2,5,10.0,12.0,22.0,3.0,0.4583333333333333,0.47979797979797956,0.010137508782495233,0.09865521,0.08673076,0.01906028125656885,0.17849270712014625,0.4166666567325592
Luna,3,2,5,7.0,5.0,12.0,3.0,0.4520547945205479,0.4747474747474745,0.0,0.13955137,0.09777533,0.010637849059996977,0.22627701667980596,0.9166666865348816
Professor Trelawney,4,2,6,5.0,3.0,8.0,3.0,0.4583333333333333,0.47979797979797956,0.01370069256248118,0.11430606,0.08673076,0.018237191538698603,0.2030603769417177,0.1666666716337204
Professor McGonagall,2,7,9,4.0,15.0,19.0,3.0,0.4748201438848921,0.5176767676767676,0.0034879052494228642,0.107422076,0.1910712,0.011443181255767675,0.1863903121727051,0.4523809552192688
Seamus,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.087694645,0.0,0.0059343139836518805,0.13764434955036792,0.0
Mrs. Norris,1,2,3,3.0,2.0,5.0,1.0,1.0,1.0,0.002810398474355114,0.087694645,0.0137116145,0.0059343139836518805,0.13764434955036792,0.1666666716337204
Ernie,1,1,2,1.0,1.0,2.0,4.0,0.3173076923076923,0.3308080808080808,0.0,0.087694645,0.011558666,0.0059343139836518805,0.13764434955036792,1.0
Neville,3,3,6,12.0,4.0,16.0,3.0,0.4583333333333333,0.4848484848484846,0.01849342567499749,0.11231886,0.076374695,0.016214474244633115,0.21860237721286754,0.25
Angelina,6,2,8,7.0,6.0,13.0,3.0,0.4520547945205479,0.4747474747474745,0.010087323095453177,0.15926301,0.09777533,0.01639471671385434,0.23788886553550495,0.3095238208770752
Pansy Parkinson,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.087694645,0.0,0.0059343139836518805,0.13764434955036792,0.0
Crabbe,2,1,3,2.0,1.0,3.0,4.0,0.3173076923076923,0.3308080808080808,0.00993676603432701,0.08905813,0.011558666,0.008602097849026765,0.13902079304587162,0.3333333432674408
Dumbledore,5,6,11,8.0,17.0,25.0,3.0,0.4748201438848921,0.5126262626262625,0.019798253538090938,0.13472521,0.12457331,0.021505995045146224,0.2480740709975737,0.2321428507566452
Crookshanks,1,2,3,1.0,2.0,3.0,4.0,0.35294117647058826,0.38005050505050486,0.0,0.029555157,0.06212523,0.005328495001836885,0.054057997322103334,1.0
Kreacher,2,1,3,4.0,2.0,6.0,4.0,0.3157894736842105,0.3295454545454545,0.0,0.09712093,0.017465252,0.014019026510979075,0.1745922517297926,1.0
Snape,4,4,8,5.0,14.0,19.0,3.0,0.4647887323943662,0.4949494949494948,0.009560373381511594,0.13485679,0.09419883,0.01720752540217887,0.24388069477444724,0.3333333432674408
Ginny,6,6,12,10.0,10.0,20.0,3.0,0.4782608695652174,0.5151515151515152,0.011530161597912278,0.16893806,0.18023801,0.01774225821490616,0.24763435624703875,0.2888889014720917
Trevor,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009450146,0.0,0.00773278217569805,0.029703456555923123,0.0
Moody,2,1,3,2.0,7.0,9.0,3.0,0.4489795918367347,0.4671717171717169,0.0,0.10489209,0.062998384,0.006943175680956373,0.1567211898833785,1.0
Lupin,2,3,5,3.0,7.0,10.0,3.0,0.46153846153846156,0.4873737373737371,0.0,0.099350244,0.097150005,0.0095910480073383,0.17076831928531788,0.8333333134651184
Voldemort,1,4,5,1.0,5.0,6.0,3.0,0.46808510638297873,0.4974747474747472,0.008732309545317675,0.087694645,0.09864397,0.0059343139836518805,0.13764434955036792,0.4166666567325592
Dobby,2,1,3,5.0,2.0,7.0,3.0,0.4489795918367347,0.4671717171717169,0.0,0.1172498,0.062998384,0.008124284401440696,0.19170234687247126,1.0
Professor Grubbly - Plank,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0147333555,0.0031385245840480696,0.0,0.0
Katie,0,2,2,0.0,2.0,2.0,3.0,0.4527027027027027,0.47512437810945246,0.0,0.0,0.08270463,0.0031385245840480696,0.0,1.0
Alicia,0,2,2,0.0,2.0,2.0,3.0,0.4527027027027027,0.47512437810945246,0.0,0.0,0.08270463,0.0031385245840480696,0.0,1.0
Kingsley,1,3,4,1.0,3.0,4.0,3.0,0.4583333333333333,0.4848484848484846,0.008732309545317675,0.087694645,0.07904793,0.0059343139836518805,0.13764434955036792,0.3333333432674408
Hestia Jones,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.009932992,0.0,0.007487744611597108,0.020453283828514256,0.0
Parvati,1,1,2,1.0,1.0,2.0,4.0,0.3188405797101449,0.33207070707070696,8.78249523235973E-5,0.029555157,0.014143546,0.005328495001836885,0.054057997322103334,0.0
Sturgis Podmore,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0012290487,0.0031385245840480696,0.0,0.0
Filch,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.08939124,0.0,0.008456468226913112,0.1567211898833785,0.5
Lavender,1,2,3,1.0,2.0,3.0,4.0,0.35106382978723405,0.3775252525252523,8.78249523235973E-5,0.029555157,0.04149182,0.005328495001836885,0.054057997322103334,0.0
Marietta,2,1,3,5.0,1.0,6.0,4.0,0.3173076923076923,0.3308080808080808,3.0111412225233364E-4,0.04336944,0.012207003,0.010036969609218214,0.0741979872171025,0.5
Madam Hooch,0,1,1,0.0,1.0,1.0,5.0,0.24363636363636362,0.2569651741293531,0.0,0.0,0.011019519,0.0031385245840480696,0.0,0.0
Mr. Malfoy,0,1,1,0.0,1.0,1.0,4.0,0.3175355450236967,0.33084577114427854,0.0,0.0,0.011558666,0.0031385245840480696,0.0,0.0
Phineas Nigellus,2,2,4,3.0,3.0,6.0,3.0,0.45517241379310347,0.477272727272727,0.0,0.10310859,0.07966847,0.008981102054386497,0.17172779019820747,1.0
Hagrid,3,5,8,7.0,11.0,18.0,3.0,0.4852941176470588,0.5151515151515152,0.026196928635953028,0.13697724,0.09469608,0.013633151673556491,0.24044830949480828,0.1666666716337204
Bane,1,2,3,1.0,4.0,5.0,3.0,0.4583333333333333,0.47979797979797956,0.0,0.087694645,0.08673076,0.0059343139836518805,0.13764434955036792,1.0
Firenze,1,1,2,1.0,2.0,3.0,3.0,0.4489795918367347,0.4671717171717169,0.0,0.087694645,0.062998384,0.0059343139836518805,0.13764434955036792,0.0
Dean,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.087694645,0.0,0.0059343139836518805,0.13764434955036792,0.0
