E1,E2,W
Hagrid,Fang,1.0
Hagrid,Hermione,2.0
Hagrid,Grawp,1.0
Hagrid,Dawlish,1.0
Ron,Ginny,1.0
Umbridge,Hagrid,1.0
Umbridge,Marietta,3.0
Umbridge,Peeves,1.0
Dumbledore,Sirius,3.0
Dumbledore,Fawkes,1.0
Dumbledore,Phineas Nigellus,1.0
Dumbledore,Fudge,2.0
Dumbledore,Snape,1.0
Snape,Harry,9.0
Snape,Sirius,3.0
Snape,Montague,1.0
Snape,Lupin,1.0
Sirius,Dolohov,1.0
Neville,Cho,1.0
Cho,Umbridge,1.0
Ginny,Fred,1.0
Ginny,Luna,1.0
Voldemort,Dumbledore,1.0
Professor McGonagall,Ron,1.0
Professor McGonagall,Ginny,1.0
Professor McGonagall,Fred,1.0
Professor McGonagall,George,1.0
Professor McGonagall,Marietta,2.0
Professor McGonagall,Umbridge,1.0
Fudge,Umbridge,1.0
Fred,Umbridge,1.0
Malfoy,Umbridge,1.0
James,Wormtail,1.0
Mr. Weasley,Mrs. Weasley,1.0
Rita,Hermione,2.0
Rita,Harry,1.0
Firenze,Harry,2.0
Phineas Nigellus,Dumbledore,1.0
Phineas Nigellus,Harry,2.0
Lupin,Sirius,1.0
Lupin,Snape,1.0
Tonks,Mrs. Weasley,1.0
the Death Eater,Neville,1.0
Professor Flitwick,Harry,1.0
Ernie,Malfoy,1.0
Gilderoy,the Healer,1.0
Wormtail,James,2.0
Goyle,Malfoy,1.0
Crabbe,Malfoy,1.0
Bane,Harry,2.0
Bane,Umbridge,2.0
the Healer,Ron,2.0
the Healer,Gilderoy,2.0
the Healer,Harry,1.0
the Healer,Ginny,1.0
Lavender,Hermione,1.0
Molly,Mrs. Weasley,1.0
Jack Sloper,Angelina,1.0
Voldemort,Avery,1.0
Voldemort,Sirius,2.0
Mrs. Norris,Peeves,1.0
Stan,Harry,1.0
Stan,Ron,1.0
Stan,Madam Marsh,1.0
Madam Pince,Ginny,1.0
Professor Marchbanks,Umbridge,1.0
Fawkes,Dumbledore,1.0
Crookshanks,Ron,1.0
