Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
his own elf,his own elf,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008213494,0.0,0.006712682211600943,0.02705173368941998,0.0
his father,his father,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.048018012,0.0,0.00901926109826479,0.07264271749619415,0.0
James Potter,James Potter,3,1,4,3.0,1.0,4.0,5.0,0.39690721649484534,0.42727272727272697,0.007833436404864976,0.034741636,0.06093126,0.008955519508908407,0.06036646854400173,0.4166666567325592
Lily Potter,Lily Potter,1,1,2,3.0,1.0,4.0,6.0,0.2873134328358209,0.3047619047619049,0.0,0.018009732,0.0040194187,0.004050613711953856,0.019174341642279696,0.5
Wormtail,Wormtail,1,5,6,2.0,6.0,8.0,4.0,0.43258426966292135,0.47294372294372283,0.018655947227375798,0.018009732,0.085838035,0.004050613711953856,0.019174341642279696,0.25
his wife,his wife,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009108353,0.0,0.004539406020102957,0.019174341642279696,0.0
Mrs. Weasley,Mrs. Weasley,1,6,7,3.0,13.0,16.0,5.0,0.43258426966292135,0.4803030303030305,3.1265031265031263E-4,0.009108353,0.101238444,0.004539406020102957,0.019174341642279696,0.23333333432674408
Frank,Frank,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,0.012574726860441147,0.009930995,0.0,0.004118671030456884,0.004005011527366426,0.0
his supporters,his supporters,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009697139,0.0,0.0059735474023299385,0.034654519094692804,0.0
his own son,his own son,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009697139,0.0,0.0059735474023299385,0.034654519094692804,0.0
Baddock,Baddock,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008590875,0.0,0.005829674021201015,0.008747951399137312,0.0
The speaker,The speaker,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005180448305833504,0.0023021709900782265,0.0
The servant,The servant,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005180448305833504,0.0023021709900782265,0.0
Aunt Petunia,Aunt Petunia,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,5.1535765821480104E-5,0.009648452,0.007465925,0.0050968721667474445,0.018212334977816772,0.0
Peeves,Peeves,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0151979625,0.0,0.006266018474540319,0.04541194404659053,0.0
Madam Pomfrey,Madam Pomfrey,1,2,3,1.0,4.0,5.0,5.0,0.4095744680851064,0.4424242424242423,9.44822373393802E-5,0.016266879,0.09165048,0.004891196086862706,0.037187115374355637,0.8333333134651184
his mother,his mother,1,1,2,1.0,1.0,2.0,6.0,0.32217573221757323,0.34935064935064924,8.967223252937538E-4,0.002723829,0.03071922,0.0050968721667474445,0.018212334977816772,0.0
Ginny,Ginny,1,1,2,1.0,1.0,2.0,6.0,0.32217573221757323,0.34935064935064924,0.007833436404864976,0.0,0.03071922,0.00843073468617814,0.018212334977816772,0.0
Professor Trelawney,Professor Trelawney,0,2,2,0.0,2.0,2.0,5.0,0.4083769633507853,0.4410256410256409,0.0,0.0,0.09165048,0.0034299409070320964,0.0,1.0
Filch,Filch,1,1,2,1.0,2.0,3.0,5.0,0.39593908629441626,0.42606837606837583,0.008039579468150896,0.0,0.06093126,0.00634569423948512,0.0013401643256152976,0.0
Amos,Amos,0,1,1,0.0,1.0,1.0,6.0,0.291044776119403,0.31153846153846165,0.0,0.0,0.017716797,0.0034299409070320964,0.0,0.0
Dean,Dean,0,1,1,0.0,1.0,1.0,5.0,0.39593908629441626,0.42606837606837583,0.0,0.0,0.06093126,0.0034299409070320964,0.0,0.0
Lynch,Lynch,2,1,3,2.0,1.0,3.0,6.0,0.308300395256917,0.3288461538461538,0.016079158936301793,0.0,0.021178827,0.009261447571938143,0.002680328651230595,0.0
Lee Jordan,Lee Jordan,0,2,2,0.0,3.0,3.0,5.0,0.4083769633507853,0.4410256410256409,0.0,0.0,0.09165048,0.0034299409070320964,0.0,1.0
Mr. Malfoy,Mr. Malfoy,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0034299409070320964,0.0,0.0
the Minister of Magic,the Minister of Magic,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00634569423948512,0.0013401643256152976,0.0
Pig,Pig,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0034299409070320964,0.0,0.0
Errol,Errol,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00634569423948512,0.0013401643256152976,0.0
The stranger,The stranger,0,1,1,0.0,1.0,1.0,6.0,0.3183673469387755,0.3438034188034187,0.0,0.0,0.025496937,0.0034299409070320964,0.0,0.0
Moran,Moran,0,1,1,0.0,1.0,1.0,7.0,0.23795180722891565,0.25340566606389375,0.0,0.0,0.0,0.0034299409070320964,0.0,0.0
Mrs. Norris,Mrs. Norris,0,1,1,0.0,1.0,1.0,6.0,0.286231884057971,0.3033755274261605,0.0,0.0,0.0,0.0034299409070320964,0.0,0.0
his uncle,his uncle,0,1,1,0.0,1.0,1.0,5.0,0.39593908629441626,0.42606837606837583,0.0,0.0,0.06093126,0.0034299409070320964,0.0,0.0
The Creevey brothers,The Creevey brothers,0,1,1,0.0,2.0,2.0,5.0,0.39593908629441626,0.42606837606837583,0.0,0.0,0.06093126,0.0034299409070320964,0.0,0.0
his old owners,his old owners,0,1,1,0.0,1.0,1.0,6.0,0.2943396226415094,0.3128205128205129,0.0,0.0,0.015426054,0.0034299409070320964,0.0,0.0
Ivanova,Ivanova,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0034299409070320964,0.0,0.0
Ryan,Ryan,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00634569423948512,0.0013401643256152976,0.0
Oliver Wood,Oliver Wood,0,1,1,0.0,2.0,2.0,5.0,0.39593908629441626,0.42606837606837583,0.0,0.0,0.06093126,0.0034299409070320964,0.0,0.0
Roddy Pontner,Roddy Pontner,0,1,1,0.0,1.0,1.0,6.0,0.29545454545454547,0.31538461538461543,0.0,0.0,0.012329598,0.0034299409070320964,0.0,0.0
Connolly,Connolly,0,1,1,0.0,1.0,1.0,7.0,0.23795180722891565,0.25340566606389375,0.0,0.0,0.0,0.0034299409070320964,0.0,0.0
his grandmother,his grandmother,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.015216771,0.0034299409070320964,0.0,0.0
