NOUN, 38
PRON, 25
DET, 24
PUNCT, 24
ADJ, 24
ADP, 23
VERB, 20
AUX, 14
CCONJ, 14
ADV, 9
PROPN, 6
PART, 6
SCONJ, 3
NUM, 3
