Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
Mother,Mother,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
Monmouth,Monmouth,0,2,2,0.0,2.0,2.0,5.0,0.3584070796460177,0.3917695473251027,0.0,0.0,0.06993435,0.0028838710239555984,0.0,0.5
men,men,0,2,2,0.0,2.0,2.0,6.0,0.27759197324414714,0.3028112449799197,0.0,0.0,0.029159898,0.0028838710239555984,0.0,0.0
Lord Fermor,Lord Fermor,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
Kelso 's grandson,Kelso 's grandson,0,1,1,0.0,1.0,1.0,6.0,0.26198083067092653,0.27926829268292686,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
his valet,his valet,0,2,2,0.0,3.0,3.0,4.0,0.4175257731958763,0.44753086419753085,0.0,0.0,0.12323034,0.0028838710239555984,0.0,1.0
his mother,his mother,0,1,1,0.0,1.0,1.0,5.0,0.28222996515679444,0.3006172839506172,0.0,0.0,0.0032048933,0.0028838710239555984,0.0,0.0
Her grandfather,Her grandfather,0,1,1,0.0,1.0,1.0,2.0,0.6,0.6666666666666666,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
he,he,0,1,1,0.0,2.0,2.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
Gladys,Gladys,0,1,1,0.0,1.0,1.0,5.0,0.35064935064935066,0.379423868312757,0.0,0.0,0.04320307,0.0028838710239555984,0.0,0.0
Francis,Francis,0,1,1,0.0,1.0,1.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
Death,Death,0,1,1,0.0,2.0,2.0,5.0,0.2862190812720848,0.3078189300411522,0.0,0.0,0.032113817,0.0028838710239555984,0.0,0.0
a woman,a woman,0,1,1,0.0,1.0,1.0,7.0,0.21891891891891893,0.23427395649617852,0.0,0.0,0.014480312,0.0028838710239555984,0.0,0.0
"A hideous Jew , in the most amazing waistcoat I ever beheld in my life","A hideous Jew , in the most amazing waistcoat I ever beheld in my life",0,1,1,0.0,1.0,1.0,5.0,0.35064935064935066,0.379423868312757,0.0,0.0,0.04320307,0.0028838710239555984,0.0,0.0
a friend,a friend,0,1,1,0.0,1.0,1.0,7.0,0.2178477690288714,0.23405048766494527,0.0,0.0,6.753648E-4,0.0028838710239555984,0.0,0.0
Adrian Singleton,Adrian Singleton,0,1,1,0.0,1.0,1.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
Poets,Poets,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.036988065,0.0,0.003944150659488573,0.07154788577264021,0.0
Lord Gloucester,Lord Gloucester,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.036988065,0.0,0.003944150659488573,0.07154788577264021,0.0
pianists,pianists,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020659814,0.0,0.003996671672319546,0.03162015905745588,0.0
her husband,her husband,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.018969933,0.0,0.004048235877598232,0.003349240503374719,0.0
the verities,the verities,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004109528664511646,0.0020257245346554753,0.0
the lower orders,the lower orders,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012319303,0.0,0.004109528664511646,0.0020257245346554753,0.0
their master,their master,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004109528664511646,0.0020257245346554753,0.0
others,others,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004109528664511646,0.0020257245346554753,0.0
a young lad with rough brown hair,a young lad with rough brown hair,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004109528664511646,0.0020257245346554753,0.0
a policeman,a policeman,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004109528664511646,0.0020257245346554753,0.0
They,They,1,1,2,1.0,1.0,2.0,5.0,0.37037037037037035,0.3993749999999995,0.0,0.07308327,0.08002727,0.004294941492757129,0.09860337481913595,1.0
the aged,the aged,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
persons,persons,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
Parker,Parker,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
my servant,my servant,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
my maid,my maid,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
my enemies,my enemies,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
man,man,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
Lord Grotrian,Lord Grotrian,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
Lady Ruxton,Lady Ruxton,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
her first husband,her first husband,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
He,He,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
a wonderful young man who was going to help her in the East End,a wonderful young man who was going to help her in the East End,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
Aunt Agatha,Aunt Agatha,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07308327,0.0,0.004294941492757129,0.09860337481913595,0.0
some rascally adventurer,some rascally adventurer,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00515130794432745,0.003349240503374719,0.0
his daughter,his daughter,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00515130794432745,0.003349240503374719,0.0
her guests,her guests,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0039630737,0.0,0.005271921954665018,0.013288630871679882,0.0
the Tories,the Tories,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335186305067694,0.0020257245346554753,0.0
these fellows,these fellows,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335186305067694,0.0020257245346554753,0.0
my father,my father,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335186305067694,0.0020257245346554753,0.0
Mr. Erskine,Mr. Erskine,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335186305067694,0.0020257245346554753,0.0
Mercutio,Mercutio,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335186305067694,0.0020257245346554753,0.0
English women,English women,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335186305067694,0.0020257245346554753,0.0
ancestors in literature,ancestors in literature,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005335186305067694,0.0020257245346554753,0.0
Juliet,Juliet,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012319303,0.0,0.005372112180413401,0.039555826394361775,0.0
his friend,his friend,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022254013,0.0,0.005605552450458479,0.07867673409084634,0.0
his guests,his guests,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.2763993E-4,0.0,0.005672197584235353,0.004672756472093964,0.0
A lady standing close to her,A lady standing close to her,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004943563,0.0,0.005737917173402451,0.012810858597688239,0.0
our,our,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0043848753,0.0,0.005751042217706757,0.022754877575909507,0.0
the policeman,the policeman,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
the old lady,the old lady,1,1,2,1.0,1.0,2.0,6.0,0.2711864406779661,0.28812499999999996,0.0,0.094065376,0.014480312,0.005854920362217467,0.20257245346554756,1.0
the men in the hall as they were leaving the house,the men in the hall as they were leaving the house,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
