E1,E2,W
Aberforth,Harry,1.0
Alecto,Ted,1.0
Alicia Snippet,Harry,1.0
Allan,Harry,1.0
Anelina Johnson,Harry,1.0
Bathilda,Harry,1.0
Bellatrix,Lupin,1.0
Bellatrix,Ron,1.0
Bellatrix,Greyback,1.0
Bellatrix,Hermione,3.0
Bellatrix,Griphook,1.0
Bellatrix,Voldemort,1.0
Bill,Greyback,1.0
Bill,Harry,1.0
Bill,Fleur,2.0
Bill,Lupin,1.0
Cattermole,Mrs. Cattermole,1.0
Charlie,Slughorn,1.0
Cho,Harry,1.0
Dean,Harry,1.0
Dedalus,Uncle Vernon,2.0
Dirk,Ted,1.0
Dobby,Ollivander,1.0
Doge,Muriel,1.0
Doge,Harry,2.0
Doge,Dumbledore,1.0
Draco,Voldemort,1.0
Draco,Griphook,1.0
Draco,Crabbe,1.0
Draco,Goyle,1.0
Draco,Harry,2.0
Draco,Snape,1.0
Dudley,Harry,1.0
Dumbledore,Harry,22.0
Dumbledore,Slughorn,1.0
Dumbledore,Ron,3.0
Dumbledore,Hermione,1.0
Dumbledore,Ariana,1.0
Dumbledore,Lupin,1.0
Dumbledore,Grindelwald,1.0
Dumbledore,Nagini,1.0
Dumbledore,Aberforth,1.0
Dumbledore,Snape,4.0
Dumbledore,Voldemort,1.0
Fleur,Hagrid,1.0
Fleur,Krum,1.0
Fleur,Lupin,1.0
Fred,Harry,1.0
Gabrielle,Mrs. Weasley,1.0
George,Lupin,1.0
George,Muriel,1.0
Ginny,Harry,4.0
Ginny,Mrs. Weasley,1.0
Ginny,Josh,2.0
Ginny,Allan,1.0
Greyback,Voldemort,1.0
Greyback,Harry,2.0
Greyback,Bill,1.0
Grindelwald,Harry,1.0
Griphook,Hermione,1.0
Griphook,Harry,6.0
Griphook,Ron,2.0
Griphook,Bill,1.0
Hagrid,Mundungus,3.0
Hagrid,Harry,5.0
Hagrid,Norbert,1.0
Harry,Dumbledore,13.0
Harry,Uncle Vernon,1.0
Harry,Hestia,1.0
Harry,Hedwig,1.0
Harry,Hagrid,6.0
Harry,Voldemort,11.0
Harry,Andromeda,2.0
Harry,Mrs. Weasley,4.0
Harry,George,1.0
Harry,Stan,2.0
Harry,Lupin,7.0
Harry,Mr. Weasley,1.0
Harry,Bill,7.0
Harry,Ron,18.0
Harry,Ginny,7.0
Harry,Hermione,48.0
Harry,Tonks,3.0
Harry,Luna,9.0
Harry,Mr. Lovegood,2.0
Harry,Muriel,1.0
Harry,the waitress,1.0
Harry,Kreacher,4.0
Harry,Mundungus,2.0
Harry,Scrimgeour,1.0
Harry,Mrs. Cattermole,4.0
Harry,Yaxley,1.0
Harry,Grindelwald,2.0
Harry,Snape,1.0
Harry,Professor McGonagall,1.0
Harry,Bathilda,2.0
Harry,Lily,2.0
Harry,Greyback,2.0
Harry,Bellatrix,2.0
Harry,Dobby,2.0
Harry,Griphook,2.0
Harry,Fleur,2.0
Harry,The barman,1.0
Harry,Aberforth,2.0
Harry,Neville,4.0
Harry,Pansy,1.0
Harry,Fred,2.0
Harry,Grawp,1.0
Harry,Draco,3.0
Harry,Goyle,1.0
Harry,Percy,2.0
Harry,Nagini,1.0
Harry,Sirius,3.0
Harry,James,1.0
Harry,Lucius Malfoy,1.0
Harry,Narcissa,1.0
Harry,Seamus,1.0
Harry,Abbott,1.0
Harry,Liza,1.0
Harry,Allan,1.0
Harry,Filch,1.0
Hermione,Lupin,2.0
Hermione,Ron,20.0
Hermione,Harry,28.0
Hermione,the waitress,1.0
Hermione,Kreacher,1.0
Hermione,Mundungus,1.0
Hermione,Phineas Nigellus,1.0
Hermione,Mr. Lovegood,4.0
Hermione,Goyle,1.0
Hestia,Dedalus,1.0
James,Harry,1.0
James,Lily,1.0
James,Snape,1.0
Katie Bell,Harry,1.0
Kingsley,Lupin,1.0
Kreacher,Harry,1.0
Kreacher,Mundungus,2.0
Kreacher,Hermione,1.0
Krum,Mr. Lovegood,1.0
Krum,Harry,1.0
Lucius Malfoy,Harry,1.0
Lucius Malfoy,Greyback,2.0
Lucius Malfoy,Snape,1.0
Luna,Hermione,1.0
Luna,Harry,1.0
Lupin,George,2.0
Lupin,Harry,12.0
Lupin,Hagrid,1.0
Lupin,Kingsley,1.0
Lupin,Fleur,1.0
Lupin,Dolohov,1.0
Madam Lestrange,Dean,1.0
Mary,Snape,1.0
Mr. Lovegood,Harry,4.0
Mr. Lovegood,Hermione,1.0
Mr. Lovegood,Luna,2.0
Mr. Weasley,Harry,2.0
Mr. Weasley,Tonks,1.0
Mr. Weasley,Madame Delacour,1.0
Mr. Weasley,Mrs. Weasley,1.0
Mrs. Weasley,Harry,2.0
Mrs. Weasley,Ron,2.0
Mrs. Weasley,Tonks,1.0
Mrs. Weasley,Fred,1.0
Mrs. Weasley,Ginny,1.0
Mundungus,Harry,1.0
Muriel,Doge,3.0
Muriel,Harry,3.0
Nagini,Harry,1.0
Narcissa,Greyback,1.0
Narcissa,Draco,1.0
Neville,Hermione,3.0
Neville,Ron,2.0
Neville,Luna,1.0
Neville,Harry,2.0
Oliver Wood,Colin Creevey,3.0
Oliver Wood,Harry,1.0
Ollivander,Harry,1.0
Peeves,Filch,1.0
Percy,Mr. Weasley,1.0
Percy,Mrs. Weasley,1.0
Petunia,Dudley,1.0
Petunia,Lily,1.0
Phineas Nigellus,Dumbledore,1.0
Phineas Nigellus,Snape,1.0
Pius Thicknesse,Scrimgeour,1.0
Professor McGonagall,Snape,1.0
Regulus,Voldemort,1.0
Regulus,Kreacher,3.0
Rita Skeeter,Harry,1.0
Ron,Harry,22.0
Ron,Ginny,1.0
Ron,Hermione,19.0
Ron,Mundungus,1.0
Ron,Mrs. Cattermole,1.0
Ron,Gregorovitch,1.0
Ron,Mr. Lovegood,1.0
Ron,Wormtail,1.0
Ron,Bill,2.0
Ron,Aberforth,1.0
Ron,Goyle,1.0
Ron,Draco,1.0
Ron,Fleur,1.0
Rowle,Hagrid,1.0
Selwyn,Harry,1.0
Sirius,Kreacher,1.0
Snape,Harry,3.0
Snape,Dumbledore,3.0
Snape,Phineas Nigellus,1.0
Snape,Lily,4.0
Snape,Avery,2.0
Snape,Voldemort,1.0
Snape,Nagini,1.0
Sprout,Harry,1.0
Ted,Dean,1.0
Ted,Dirk,2.0
the balding wizard,Harry,1.0
The barman,Dobby,1.0
The old goblin,Harry,1.0
The old goblin,Griphook,1.0
the waitress,Ron,1.0
Tonks,Bellatrix,1.0
Tonks,Harry,1.0
Travers,Hermione,1.0
Umbridge,Mrs. Cattermole,1.0
Uncle Vernon,Dudley,2.0
Uncle Vernon,Petunia,2.0
Voldemort,Bellatrix,2.0
Voldemort,Uncle Vernon,1.0
Voldemort,Harry,7.0
Voldemort,Draco,1.0
Voldemort,Alecto,1.0
Voldemort,Neville,1.0
Voldemort,Professor McGonagall,1.0
Voldemort,Slughorn,1.0
Voldemort,Kreacher,2.0
Voldemort,Narcissa,1.0
Voldemort,Snape,1.0
Voldemort,Gregorovitch,1.0
